Original Docket Text,Removed unnecessary POS & vocab,Removed unnecessary POS & vocab DT,DT Topics,Apply Trigram Phrase Model
"Letter Regarding Service by LG Capital Funding, LLC (Attachments: # 1 Exhibit A - FedEx Shipping Label, # 2 Exhibit B - SEC Filing) (Kehrli, Kevin) (Entered: 07/12/2016)",letter service,,Service of Process,
"RULE 56.1 STATEMENT re 6 Order to Show Cause, filed by LG Capital Funding, LLC. (Kehrli, Kevin) (Entered: 07/14/2016)",rule order show cause,rule order show cause,,rule order show_cause
"NOTICE: Service of this Court's July 8, 2016 Order to Show Cause and accompanying papers shall be deemed complete upon the mailing of all documents via first class mail to 1075 Peachtree Street NE, Suite 3650, Atlanta, Georgia, 30309. Plaintiff is directed to file proof of mailing by July 18, 2016. (Valentin, Winnethka) (Entered: 07/15/2016)",notice service order show cause accompany deem complete upon via suite atlanta georgia proof winnethka,,"Notices, Service of Process",
"CERTIFICATE OF SERVICE by LG Capital Funding, LLC re 6 Order to Show Cause, Notice (Other), (Kehrli, Kevin) (Entered: 07/18/2016)",certificate service order show cause notice,,"Notices, Service of Process",
"SUMMONS Returned Executed by LG Capital Funding, LLC. FLASR, Inc. served on 7/22/2016, answer due 8/12/2016. (Kehrli, Kevin) (Entered: 07/26/2016)",summons execute flasr serve answer due,,"Service of Process, Answers to Complaints",
"Letter Regarding Service by LG Capital Funding, LLC (Kehrli, Kevin) (Entered: 08/01/2016)",letter service,,Service of Process,
"ORDER: Plaintiffs are hereby directed to serve this Court's July 8, 2016 Order to Show Cause and accompanying papers via email to Defendants CEO, as well as to the company's general email address. Plaintiffs must file proof of the same by August 4, 2016. A hearing on the Order to Show Cause shall proceed on August 12, 2016, as originally scheduled. Ordered by Judge LaShann DeArcy Hall on 8/2/2016. (Valentin, Winnethka) (Entered: 08/02/2016)",order serve order show cause accompany via email ceo well company general email address proof hearing order show cause proceed originally schedule order winnethka,order serve order show cause accompany via email ceo well company general email address proof hearing order show cause proceed originally schedule order winnethka,,order serve order show_cause accompany via email ceo well company general email address proof hearing order show_cause proceed originally schedule order winnethka
"CERTIFICATE OF SERVICE by LG Capital Funding, LLC re Order, (Kehrli, Kevin) (Entered: 08/03/2016)",certificate service order,,Service of Process,
"Proposed Findings of Fact by LG Capital Funding, LLC (Kehrli, Kevin) (Entered: 08/04/2016)",propose finding,propose finding,,propose_finding
"MINUTE ENTRY AND ORDER: Hearing regarding Plaintiffs' June 28, 2016 motion for a preliminary injunction 2 held before Judge LaShann DeArcy Hall on August 12, 2016. Kevin Kehrli appeared on behalf of Plaintiffs. In violation of this Court's July 8, 2016 Order to Show Cause, Defendants failed to appear. The Court heard argument from Plaintiffs' counsel. For the reasons stated on the record, Plaintiffs are hereby directed to file a supplemental submission by August 19, 2016, regarding paragraph four of Plaintiffs' proposed preliminary injunction and the legal bases for ordering a preliminary injunction absent a bond. (Court Reporter Michele Luchesse.) (Valentin, Winnethka) (Entered: 08/15/2016)",minute entry order hear motion preliminary injunction hold lashann dearcy hall appear violation order show cause fail appear heard argument reason supplemental paragraph propose preliminary injunction legal base order preliminary injunction absent bond winnethka,,Motions,
"MEMORANDUM in Support re 6 Order to Show Cause, Order, Supplemental Submission filed by LG Capital Funding, LLC. (Attachments: # 1 Declaration of Kevin Kehrli, # 2 Exhibit A - SPA, # 3 Exhibit B - Form PRE 14C 1, # 4 Exhibit C - Form PRER 14C, # 5 Exhibit D - Form PRE 14C 2, # 6 Exhibit E - OTC Markets Company Profile, # 7 Exhibit F - Quarterly Report, # 8 Exhibit G - Registration Forms, # 9 Exhibit H - Disbursement Memo, # 10 Exhibit I - Wire Confirmation) (Kehrli, Kevin) (Entered: 08/19/2016)",memorandum support order show cause order supplemental,,Other Answers,
"NOTICE by LG Capital Funding, LLC re 6 Order to Show Cause, PROPOSED ORDER (Kehrli, Kevin) (Entered: 09/09/2016)",notice order show cause propose order,,Notices,
"SCHEDULING ORDER: A hearing regarding Plaintiffs' June 28, 2016 motion for a preliminary injunction shall be held on October 19, 2016 at 2:30 pm. Ordered by Judge LaShann DeArcy Hall on 10/12/2016. (Castro, Monica) (Entered: 10/12/2016)",schedule order hearing motion preliminary injunction hold pm order,,Motions,
"ORDER: Now, therefore, it is: ORDERED, that FLSR immediately deliver to LG 1,523,983 shares of FLSR Common Stock, along with the necessary corporate resolutions to enable LG to sell such Common Stock publicly without restriction;ORDERED, that FLSR remain current in its filings with the Securities and Exchange Commission (""SEC"") as required by law. IT IS FURTHER ORDERED, that this Preliminary Injunction shall remain in effect until such time as the Court shall enter a superseding order. (See attachment for additional details). Ordered by Judge LaShann DeArcy Hall on 10/19/2016. (Basnight, Jasmine) (Entered: 10/20/2016)",order therefore order immediately deliver share along necessary corporate resolution enable sell common stock publicly without order current law order preliminary injunction effect supersede order order,,Motions,
"Request for Certificate of Default by LG Capital Funding, LLC (Attachments: # 1 Declaration, # 2 Exhibit Proposed Certificate) (Kehrli, Kevin) (Entered: 10/20/2016)",request certificate default,,"Others, Service of Process, Motions",
"MINUTE ENTRY AND ORDER: Hearing regarding Plaintiffs' June 28, 2016 motion for a preliminary injunction 2 held before Judge LaShann DeArcy Hall on October 21, 2016. Kevin Kehrli appeared on behalf of Plaintiffs. In violation of this Court's October 12, 2016 Order, Defendants failed to appear. For the reasons stated on the record, Plaintiff's motion for a preliminary injunction was GRANTED. Plaintiff was also directed to seek entry of default based on Defendant's failure to answer the complaint or otherwise appear in this matter. Ordered by Judge LaShann DeArcy Hall on 10/24/2016. (Court Reporter Anthony Frisolone). (Castro, Monica) (Entered: 11/23/2016)",minute entry order hear motion preliminary injunction hold lashann dearcy hall appear violation order fail appear reason motion preliminary injunction grant also entry default base failure answer complaint otherwise appear order,,"Complaints, Answers to Complaints, Motions",
"Clerk's ENTRY OF DEFAULT It appearing from the docket maintained in this action that Defendant FLASR, Inc. has failed to appear or otherwise defend this action, the default of Defendant FLASR, Inc. is hereby noted pursuant to Rule 55a of the Federal Rules of Civil Procedure. (Hamilton, Janet) (Entered: 10/24/2016)",entry default appear maintain flasr fail appear otherwise defend default flasr note rule federal rule civil procedure,,Motions,
"ORDER: On October 24, 2016, the Clerk of the Court noted Defendant's default pursuant to Federal Rule of Civil Procedure 55(a). Any motion for default judgment must be filed by November 11, 2016. Ordered by Judge LaShann DeArcy Hall on 10/28/2016. (Castro, Monica) (Entered: 10/28/2016)",order note default federal rule civil procedure motion default judgment order,,Motions,
"MOTION for Default Judgment by LG Capital Funding, LLC. (Attachments: # 1 Memorandum in Support, # 2 Declaration of Kevin Kehrli, # 3 Declaration of Joseph Lerman, # 4 Proposed Order) (Kehrli, Kevin) (Entered: 11/10/2016)",motion default judgment,,Motions,
"ORDER: Plaintiff's November 10, 2016 motion 19 for default judgment is hereby respectfully referred to United States Magistrate Judge James Orenstein for a Report and Recommendation. Ordered by Judge LaShann DeArcy Hall on 11/15/2016. (Castro, Monica) (Entered: 11/15/2016)",order motion default judgment respectfully united report recommendation order,,Motions,
"MOTIONS REFERRED: 19 MOTION for Default Judgment Motions referred to James Orenstein. (Guy, Alicia) (Entered: 11/16/2016)",motion motion default judgment motion,,Motions,
"ORDER re 19 MOTION for Default Judgment filed by LG Capital Funding, LLC -- The plaintiff is directed to submit any written materials in support of its request for damages and attorneys' fees, including any affidavits, exhibits, or memoranda of law that the plaintiff wishes me to consider, no later than December 7, 2016, with copies simultaneously provided to the defendant. If the plaintiff wishes to present witnesses in support of its motion, it must also provide a list of all such witnesses. The defendant's default is without prejudice to its right to contest damages at an inquest. If it wishes to do so, it must respond to plaintiff's motion, including all written materials, and provide a list of all witnesses who will testify at an inquest, no later than December 14, 2016. This will be the parties' final opportunity to present evidence or argument to me in support of any request for relief; if the evidence in the record by that deadline fails to establish either liability or any component of the plaintiff's request for relief, I will recommend that the court deny the corresponding portion of the motion rather than allow the plaintiff to cure the defect by filing supplemental proof. Upon reviewing the parties' submissions, I will schedule further proceedings as appropriate. Each party is responsible for arranging, at its own expense, the assistance of a court-certified interpreter for any inquest witness it will present who cannot testify in English. The plaintiff is directed to serve a copy of this order on the defendant and electronically file proof of such service with the court no later than November 23, 2016. Ordered by Magistrate Judge James Orenstein on 11/16/2016. (Klewin, Erin) (Entered: 11/16/2016)",order motion default judgment support request fee affidavit memoranda law wish consider late simultaneously wish support motion also list default without prejudice right contest inquest wish respond motion list testify inquest final opportunity evidence argument support request relief evidence deadline fail establish either liability component request relief recommend deny correspond portion motion rather allow cure defect supplemental proof upon schedule appropriate responsible arrange expense assistance courtcertified interpreter inquest testify english serve order electronically proof service late order,,"Others, Service of Process, Motions",
"DECLARATION re Order,,,,,,, Service of Order by LG Capital Funding, LLC (Kehrli, Kevin) (Entered: 11/21/2016)",declaration order service order,,"Service of Process, Other Answers",
"AFFIDAVIT/DECLARATION in Support re 19 MOTION for Default Judgment Damage Inquest filed by LG Capital Funding, LLC. (Attachments: # 1 Exhibit A - Note, # 2 Exhibit B - Disbursement Memo, # 3 Exhibit C - Wire Confirmation, # 4 Exhibit D - Notice of Conversion 1, # 5 Exhibit E - Notice 1 Email, # 6 Exhibit F - Notice of Conversion 2, # 7 Exhibit G - Notice 2 Email, # 8 Exhibit H - Reserve Request 1, # 9 Exhibit I - Reserve Request 2, # 10 Exhibit J - Notice of Default, # 11 Exhibit K - Notice of Conversion 3, # 12 Exhibit L - Notice 3 Email, # 13 Exhibit M - Stock Prices) (Kehrli, Kevin) (Entered: 12/07/2016)",affidavit declaration support motion default judgment inquest,,"Other Answers, Motions",
"Witness List by LG Capital Funding, LLC (Kehrli, Kevin) (Entered: 12/07/2016)",list,list,,list
"NOTICE of Appearance by Gerald V. Dandeneau on behalf of FLASR, Inc. (aty to be noticed) (Dandeneau, Gerald) (Entered: 12/16/2016)",notice appearance flasr inc,,Notices,
"MOTION to Withdraw as Attorney by FLASR, Inc.. (Dandeneau, Gerald) (Entered: 12/22/2016)",motion withdraw inc,,Motions,
"ORDER re 24 MOTION to Withdraw as Attorney filed by FLASR, Inc. -- Any attorney seeking leave to withdraw must file a motion pursuant to Local Civil Rule 1.4. Ordered by Magistrate Judge James Orenstein on 12/23/2016. (Klewin, Erin) (Entered: 12/23/2016)",order motion withdraw flasr leave withdraw motion local civil rule ordered,,Motions,
"Motions terminated, docketed incorrectly: 24 MOTION to Withdraw as Attorney filed by FLASR, Inc. Any attorney seeking leave to withdraw must file a motion pursuant to Local Civil Rule 1.4. (Guy, Alicia) (Entered: 12/27/2016)",motion terminate incorrectly motion withdraw flasr leave withdraw motion local civil rule,,Motions,
"MOTION for pre motion conference by LG Capital Funding, LLC. (Kehrli, Kevin) (Entered: 01/17/2017)",motion motion conference,,Motions,
"SCHEDULING ORDER granting 25 Motion for Pre Motion Conference -- A status conference will be held on January 30, 2017, at 11:00 a.m. Ordered by Magistrate Judge James Orenstein on 1/18/2017. (Klewin, Erin) (Entered: 01/18/2017)",schedule order grant motion motion conference status conference hold ordered,,Motions,
"Minute Entry for proceedings held before Magistrate Judge James Orenstein:Status Conference held on 1/30/2017. SCHEDULING: The next status conference will be held on March 13, 2017, at 10:00 a.m. SUMMARY: (1) The defendant's counsel of record, Gerald V. Dandeneau, did not appear as required and did not seek to be excused from attending today's conference. Although on December 22, 2016, Mr. Dandeneau expressed an intention to file a motion for leave to withdraw as counsel of record, docket entry 24 , he has not yet filed such a motion and therefore remains obliged to appear for all court conferences in the case unless excused. To minimize the prejudice to his client from its lack of representation at today's proceeding, I respectfully direct Mr. Dandeneau to purchase the minutes of the conference (at his own expense, and not his client's), to provide a copy of that transcript to his client, and to certify compliance with the foregoing directives no later than March 1, 2017. (2) I granted the plaintiff's request to file a motion for contempt sanctions. The plaintiff shall serve its motion papers on the defendant by February 13, 2017; the defendant shall serve its response by February 27, 2017; the plaintiff may serve its reply, and file all motion papers on the docket, by March 6, 2017. (3) I will hear argument on the motion at the next conference scheduled above. A principal or officer of the defendant must appear at that conference in person, along with all counsel of record. (Orenstein, James) (Entered: 01/30/2017)",minute entry hold status conference hold schedule next status conference hold summary appear excuse attend today conference although mr express intention motion leave withdraw entry yet motion therefore obliged appear conference unless excuse minimize prejudice client lack representation today proceed respectfully mr purchase minute conference client certify compliance forego directive grant request motion contempt sanction serve motion serve response serve reply motion hear argument motion next conference schedule principal officer appear conference person along,,"Others, Other Answers, Answers to Complaints, Motions",
"MOTION to Withdraw as Attorney by FLASR, Inc.. (Attachments: # 1 Declaration) (Dandeneau, Gerald) (Entered: 02/05/2017)",motion withdraw inc,,Motions,
"ORDER re 27 MOTION to Withdraw as Attorney filed by FLASR, Inc. -- A status conference will be held on February 23, 2017, at 10:00 a.m. A principal or officer of the defendant is directed to appear in person, along with counsel for both sides. Ordered by Magistrate Judge James Orenstein on 2/6/2017. (Klewin, Erin) (Entered: 02/06/2017)",order motion withdraw flasr status conference hold principal officer appear person along side order,,Motions,
"CERTIFICATE OF SERVICE by FLASR, Inc. (Dandeneau, Gerald) (Entered: 02/06/2017)",certificate service flasr inc,,Service of Process,
"Letter in Response to Defendant's Motion by LG Capital Funding, LLC (Kehrli, Kevin) (Entered: 02/07/2017)",letter response motion,,"Other Answers, Answers to Complaints, Motions",
"ORDER re 29 Letter filed by LG Capital Funding, LLC -- The plaintiff is respectfully directed to file the exhibits referenced in its letter response, docket entry 29 . For clarification, the pendency of the motion to withdraw does not alter any previously set deadline in this case, including the schedule for briefing the motion for contempt sanctions. Ordered by Magistrate Judge James Orenstein on 2/7/2017. (Klewin, Erin) (Entered: 02/07/2017)",order letter respectfully reference letter response entry clarification pendency motion withdraw alter previously deadline schedule brief motion contempt sanction order,,"Other Answers, Answers to Complaints, Motions",
"Letter Dkt. 29 Re-Filed With Exhibits by LG Capital Funding, LLC (Attachments: # 1 Exhibit A - Email 1, # 2 Exhibit B - Email 2) (Kehrli, Kevin) (Entered: 02/07/2017)",letter dkt refiled,letter dkt refiled,,letter dkt refiled
"ORDER re 30 Letter filed by LG Capital Funding, LLC -- Attorney Anthony F. Newton, of the Law Office of Anthony F. Newton, 7611 Old English Court, Sugar Land, TX, having engaged in settlement discussions with the plaintiff on the defendant's behalf, shall appear by telephone at the next conference on February 23, 2017, at 10:00 a.m. The defendant is directed to serve a copy of this order on Mr. Newton. Ordered by Magistrate Judge James Orenstein on 2/8/2017. (Klewin, Erin) (Entered: 02/08/2017)",order letter old english sugar land tx engage settlement discussion appear telephone next conference serve order mr order,,"Others, Motions",
"MOTION for Contempt by LG Capital Funding, LLC. (Attachments: # 1 Declaration of Kevin Kehrli, # 2 Exhibit A - Injunction Order, # 3 Exhibit B - Email 1, # 4 Exhibit C - Email 2, # 5 Exhibit D - Email 3, # 6 Declaration of Joseph Lerman, # 7 Exhibit A - SEC Filings, # 8 Exhibit B - NTN 10K, # 9 Memorandum in Support) (Kehrli, Kevin) (Entered: 02/13/2017)",motion contempt,motion contempt,,motion contempt
"TRANSCRIPT of Proceedings held on January 30, 2017, before Judge Orenstein. Court Reporter/Transcriber Fiore Reporting and Transcription Service, Inc., Telephone number (203) 929-9992. Email address: cmfiore@sbcglobal.net. Transcript may be viewed at the court public terminal or purchased through the Court Reporter/Transcriber before the deadline for Release of Transcript Restriction. After that date it may be obtained through PACER.File redaction request using event ""Redaction Request - Transcript"" located under ""Other Filings - Other Documents"". Redaction Request due 3/16/2017. Redacted Transcript Deadline set for 3/27/2017. Release of Transcript Restriction set for 5/24/2017. (Hong, Loan) (Entered: 02/23/2017)",hold reporter transcriber telephone number email address cmfiore sbcglobal net view public terminal purchase reporter transcriber deadline release obtain pacer redaction request use event redaction request locate redaction request due redact deadline release,,Others,
"Minute Entry for proceedings held before Magistrate Judge James Orenstein:Status Conference held on 2/23/2017. SCHEDULING: The next status conference will be held on March 13, 2017, at 10:00 a.m. SUMMARY: The defendant's principal, Everett Dickson, ignored the order requiring him to appear at today's conference. He must appear in person at the next conference scheduled above; failure to comply will result in a recommendation that he be adjudged in contempt of this court's lawful authority. Mr. Newton, an attorney licensed to practice in Texas, acknowledged that he contacted the plaintiff directly, without the knowledge or consent of the plaintiff's counsel, to negotiate a settlement with a party he knew to be represented by counsel in this matter. I will afford Mr. Newton the opportunity to submit an affidavit by March 1, 2017, explaining the circumstances of the contact and why he should not be referred to the appropriate disciplinary authorities for an apparent violation of applicable rules of professional responsibility. I denied Mr. Newton's request to seek leave on behalf of Mr. Dickson to appear by telephone at the next conference. I respectfully direct Mr. Dandeneau to provide copies of the attached minute order to Mr. Dickson and to Mr. Newton. (Orenstein, James) (Entered: 02/24/2017)",minute entry hold status conference hold schedule next status conference hold summary principal ignore order appear today conference appear person next conference schedule failure comply result recommendation adjudge contempt lawful authority mr license practice texas acknowledge contact directly without knowledge consent negotiate settlement know represented afford mr opportunity affidavit explain circumstance contact appropriate disciplinary authority apparent violation applicable rule professional responsibility deny mr request leave mr appear telephone next conference respectfully mr minute order mr mr,,"Others, Motions",
"ORDER: Plaintiff's February 13, 2017 Motion 31 for contempt is hereby respectfully referred to United States Magistrate Judge James Orenstein for a Report and Recommendation. Ordered by Judge LaShann DeArcy Hall on 2/28/2017. (Valentin, Winnethka) (Entered: 02/28/2017)",order motion contempt respectfully united report recommendation order winnethka,order motion contempt respectfully united report recommendation order winnethka,,order motion contempt respectfully united report recommendation order winnethka
"CERTIFICATE OF SERVICE by FLASR, Inc. (Dandeneau, Gerald) (Entered: 03/01/2017)",certificate service flasr inc,,Service of Process,
"REPLY in Support re 31 MOTION for Contempt filed by LG Capital Funding, LLC. (Kehrli, Kevin) (Entered: 03/06/2017)",reply support motion contempt,,Other Answers,
"Minute Entry for proceedings held before Magistrate Judge James Orenstein:Status Conference held on 3/13/2017. (1) The parties will confer in an attempt to resolve on consent the pending motion for contempt sanctions, and will provide a status report on the matter by March 17, 2017. (2) Mr. Dandeneau and his client will confer in an effort to resolve the motion for leave to withdraw as counsel of record, and will provide a status report on the matter by March 17, 2017. If counsel and client work out a mutually satisfactory arrangement, I will terminate the motion as moot; otherwise, I will grant Mr. Dandeneau leave to withdraw. (Orenstein, James) (Entered: 03/13/2017)",minute entry hold status conference hold confer attempt resolve consent motion contempt sanction status report mr client confer effort resolve motion leave withdraw status report client work mutually satisfactory arrangement terminate motion moot otherwise grant mr leave withdraw,,Motions,
"STATUS REPORT by LG Capital Funding, LLC (Kehrli, Kevin) (Entered: 03/17/2017)",status report,status report,,status_report
"MOTION to Substitute Attorney letter in support by FLASR, Inc.. (Dandeneau, Gerald) (Entered: 03/18/2017)",motion substitute letter support inc,motion substitute letter support inc,,motion substitute letter support inc
"NOTICE of Appearance by Chris Han on behalf of LG Capital Funding, LLC (aty to be noticed) (Han, Chris) (Entered: 05/15/2017)",notice appearance,,Notices,
"ORDER granting 27 Motion to Withdraw as Attorney; granting 38 Motion to Substitute Attorney -- The motion to withdraw is granted; attorney Gerald V. Dandeneau terminated. Ordered by Magistrate Judge James Orenstein on 7/26/2017. (Klewin, Erin) (Entered: 07/26/2017)",order grant motion withdraw grant motion substitute motion withdraw grant terminate ordered,,Motions,
"REPORT AND RECOMMENDATIONS re 19 MOTION for Default Judgment filed by LG Capital Funding, LLC. For the reasons set forth in he attached document, I respectfully recommend that the court grant a default judgment against defendant; order the defendant to deliver 1,523,983 shares of its common stock to LG; and order the defendantR to pay LG damages in the amount of $105,794.24 (consisting of $69,965.00 in unpaid principal, $3,438.91 in regular interest, $31,990.33 in default interest, and $400.00 in litigation costs). I direct the plaintiff to serve a copy of the attached Report and Recommendation on the defendant by certified mail and to file proof of service no later than July 31, 2017. Any objections to this Report and Recommendation must be filed no later than August 14, 2017. Failure to file objections within this period designating the particular issues to be reviewed waives the right to appeal the district court's order. Ordered by Magistrate Judge James Orenstein on 7/27/2017. (Orenstein, James) (Entered: 07/27/2017)",report recommendation motion default judgment reason attached respectfully recommend grant default judgment order deliver share common stock order defendantr pay serve report recommendation certify proof service objection report recommendation failure objection within period particular waif right appeal order order,,"Service of Process, Other Answers, Motions",
"REPORT AND RECOMMENDATIONS re 31 MOTION for Contempt filed by LG Capital Funding, LLC. For the reasons set forth in the attached document, I respectfully recommend that the court grant the plaintiff's motion for contempt, and impose coercive sanctions on the defendant in the amount of $500.00 per day, which shall begin to accrue on the date that the court's order is served on the defendant, unless and until the defendant fully complies with the Injunction Order. I direct the plaintiff to serve a copy of the attached Report and Recommendation on the defendant by certified mail and to file proof of service no later than July 31, 2017. Any objections to this Report and Recommendation must be filed no later than August 14, 2017. Failure to file objections within this period designating the particular issues to be reviewed waives the right to appeal the district court's order. Ordered by Magistrate Judge James Orenstein on 7/27/2017. (Orenstein, James) (Entered: 07/27/2017)",report recommendation motion contempt reason attached respectfully recommend grant motion contempt impose coercive sanction per begin accrue order serve unless fully complies injunction order serve report recommendation certify proof service objection report recommendation failure objection within period particular waif right appeal order order,,"Service of Process, Other Answers, Motions",
"CERTIFICATE OF SERVICE by LG Capital Funding, LLC re 40 REPORT AND RECOMMENDATIONS re 19 MOTION for Default Judgment filed by LG Capital Funding, LLC, 41 REPORT AND RECOMMENDATIONS re 31 MOTION for Contempt filed by LG Capital Funding, LLC (Kehrli, Kevin) (Entered: 07/28/2017)",certificate service report recommendation motion default judgment report recommendation motion contempt,,"Service of Process, Motions",
"OBJECTION to 40 Report and Recommendations filed by LG Capital Funding, LLC. (Attachments: # 1 Declaration of Chris Han, # 2 Exhibit A to Declaration of Chris Han, # 3 Exhibit B to Declaration of Chris Han, # 4 Exhibit C to Declaration of Chris Han, # 5 Exhibit D to Declaration of Chris Han) (Han, Chris) (Entered: 08/14/2017)",objection report recommendation,,Other Answers,
"ORDER ADOPTING REPORT AND RECOMMENDATIONS: No objections have been filed to Magistrate Judge Orenstein's July 27, 2017 Report and Recommendation 41 regarding Plaintiff's February 13, 2017 Motion for Contempt 31 . The Court has reviewed the record and the Report and Recommendation for clear error, and, finding none, hereby adopts Magistrate Judge Orenstein's Report and Recommendation in its entirety as the opinion of this Court. Accordingly, the Court GRANTS the Plaintiff's motion for contempt and imposes coercive sanctions on Defendant in the amount of $500.00 per day, which shall begin to accrue on the date that this Order is served on Defendant, unless and until Defendant fully complies with the Injunction Order. Ordered by Judge LaShann DeArcy Hall on 9/29/2017. (Valentin, Winnethka) (Entered: 09/29/2017)",order adopt report recommendation objection report motion contempt report recommendation clear find none adopts report recommendation entirety opinion grant motion contempt impose coercive sanction per begin accrue order serve unless fully complies injunction order order winnethka,,"Other Answers, Motions",
"SCHEDULING ORDER: The Court shall hear argument on Plaintiff's objections to Judge Oreinstein's July 27, 2017 Report and Recommendation on October 11, 2017 at 2:30 p.m. Supplemental briefing, if any, on limited issues to be identified at the hearing shall be filed no later than October 25, 2017. Ordered by Judge LaShann DeArcy Hall on 9/29/2017. (Valentin, Winnethka) (Entered: 09/29/2017)",schedule order hear argument objection report recommendation p supplemental briefing limited identify hear order winnethka,,Other Answers,
"AFFIDAVIT of Service for Order Adopting Report and Recommendation served on Registered Agent, Corporate Creations Network, Inc. on October 6, 2017, filed by LG Capital Funding, LLC. (Kehrli, Kevin) (Entered: 10/10/2017)",affidavit service order adopt report recommendation serve registered agent,,Service of Process,
"MINUTE ENTRY AND ORDER: The Court held oral argument regarding Plaintiff's objections to Judge Oreinstein's July 27, 2017 Report and Recommendation on October 11, 2017. Kevin Kerhli appeared on behalf of Plaintiff. Defendant failed to appear. Plaintiff shall file supplemental briefing on or before November 8, 2017. (Court Reporter Anthony Mancuso.) (Valentin, Winnethka) (Entered: 10/12/2017)",minute entry order hold oral argument objection report recommendation appear fail appear supplemental brief winnethka,,"Other Answers, Motions",
"MEMORANDUM in Support re 43 Objection to Report and Recommendations, Status Conference, filed by LG Capital Funding, LLC. (Kehrli, Kevin) (Entered: 11/08/2017)",memorandum support objection report recommendation status conference,,"Other Answers, Motions",
"NOTICE by LG Capital Funding, LLC Termination of Counsel (Han, Chris) (Entered: 01/11/2018)",notice termination,,Notices,
"ORDER re 46 Notice -- The application is granted; attorney Chris Han terminated. Ordered by Magistrate Judge James Orenstein on 1/11/2018. (Salvador, Anjali) (Entered: 01/11/2018)",order notice grant terminate ordered,,Notices,
"COMPLAINT against Vapor Group, Inc. filing fee $ 400, receipt number 0207-8762383 Was the Disclosure Statement on Civil Cover Sheet completed -YES,, filed by LG Capital Funding, LLC. (Attachments: # 1 Exhibit A, # 2 Exhibit B, # 3 Exhibit C, # 4 Exhibit D, # 5 Exhibit E, # 6 Proposed Summons, # 7 Civil Cover Sheet) (Kehrli, Kevin) (Entered: 07/15/2016)",complaint fee receipt number disclosure civil cover sheet complete yes,,Complaints,
"Case assigned to Judge Nina Gershon and Magistrate Judge Ramon E. Reyes, Jr. Please download and review the Individual Practices of the assigned Judges, located on our website. Attorneys are responsible for providing courtesy copies to judges where their Individual Practices require such. (Bowens, Priscilla) (Entered: 07/15/2016)",please download locate website responsible courtesy individual practice,please download locate website responsible courtesy individual practice,,please_download_locate_website responsible_courtesy_individual_practice
"Summons Issued as to Vapor Group, Inc.. (Bowens, Priscilla) (Entered: 07/15/2016)",summons inc,,Service of Process,
"In accordance with Rule 73 of the Federal Rules of Civil Procedure and Local Rule 73.1, the parties are notified that if all parties consent a United States magistrate judge of this court is available to conduct all proceedings in this civil action including a (jury or nonjury) trial and to order the entry of a final judgment. Attached to the Notice is a blank copy of the consent form that should be filled out, signed and filed electronically only if all parties wish to consent. The form may also be accessed at the following link: http://www.uscourts.gov/uscourts/FormsAndFees/Forms/AO085.pdf. You may withhold your consent without adverse substantive consequences. Do NOT return or file the consent unless all parties have signed the consent. (Bowens, Priscilla) (Entered: 07/15/2016)",accordance rule federal rule civil procedure local rule notify consent united available conduct civil trial order entry final judgment notice blank consent fill electronically wish consent also access link http www uscourts gov uscourts formsandfees ao085 pdf withhold consent without adverse substantive consequence consent unless consent,,"Notices, Motions",
"This attorney case opening filing has been checked for quality control. See the attachment for corrections that were made, if any. (Bowens, Priscilla) (Entered: 07/15/2016)",open check quality control correction,open check quality control correction,,open_check_quality_control correction
"SUMMONS Returned Executed by LG Capital Funding, LLC. Vapor Group, Inc. served on 7/18/2016, answer due 8/8/2016. (Kehrli, Kevin) (Entered: 07/26/2016)",summons execute serve answer due,,"Service of Process, Answers to Complaints",
"First MOTION for Leave to Appear Pro Hac Vice Filing fee $ 150, receipt number 0207-8818835. by Vapor Group, Inc.. (Moskowitz, Nicole) (Entered: 08/05/2016)",motion leave appear pro hac vice fee receipt number inc,,Motions,
"ORDER granting 6 Motion for Nicole R. Moskowitz Leave to Appear Pro Hac Vice The attorney shall register for ECF, registration is available online at the NYEDs homepage. Once registered, the attorney shall file a notice of appearance and ensure that s/he receives electronic notification of activity in this case. Also, the attorney shall ensure that the $150 admission fee be submitted to the Clerks Office. Ordered by Magistrate Judge Ramon E. Reyes, Jr on 8/5/2016. (Vertus, Miriam) (Entered: 08/05/2016)",order grant motion leave appear pro hac vice register registration available online nyeds homepage register notice appearance ensure receive electronic notification activity also ensure admission fee ordered jr,,"Notices, Motions",
"First MOTION for Extension of Time to File Response/Reply by Vapor Group, Inc.. (Moskowitz, Nicole) Modified on 8/11/2016 (Vertus, Miriam). (Entered: 08/08/2016)",motion extension response reply inc,,"Other Answers, Answers to Complaints, Motions",
"ORDER granting 7 Motion for Extension of Time to Answer. Defendant Vapor Group, Inc. answer is due 8/23/2016. Ordered by Magistrate Judge Ramon E. Reyes, Jr on 8/11/2016. (Vertus, Miriam) (Entered: 08/11/2016)",order grant motion extension answer answer due order jr,,"Answers to Complaints, Motions",
"ANSWER to Complaint by Vapor Group, Inc.. (Moskowitz, Nicole) (Entered: 08/29/2016)",answer complaint inc,,"Complaints, Answers to Complaints",
