Original Docket Text,Organization Portion,Name Portion,Identifying Org and Name,Stripped Org and Name,Removed unnecessary POS & vocab_x,DT Topics,Removed unnecessary POS & vocab DT_x,Apply Trigram Phrase Model_x,Removed unnecessary POS & vocab_y,Removed unnecessary POS & vocab DT_y,Apply Trigram Phrase Model_y,New Topocs,Action [Y/N],If Y
"RULE 7.1 DISCLOSURE STATEMENT. Document filed by Ernst & Young Cayman Islands.(ps, ) (Entered: 10/22/2004)",Ernst & Young,,"RULE 7.1 DISCLOSURE STATEMENT . Document filed by -ORG- -ORG- -ORG- Cayman Islands . ( ps , ) ( Entered : 10/22/2004 )","RULE 7.1 DISCLOSURE STATEMENT . Document filed by Cayman Islands . ( ps , ) ( Entered : 10/22/2004 )",rule disclosure cayman island,,rule disclosure cayman island,cayman island,"['rule disclosure .', 'document file cayman island .']","['rule disclosure .', 'document file cayman island .']","['.', 'document file cayman island .']",System Msg,N,
"RULE 7.1 DISCLOSURE STATEMENT. Document filed by Amsterdam Trust Corp..(pa, ) (Entered: 11/05/2004)",Amsterdam Trust,,"RULE 7.1 DISCLOSURE STATEMENT . Document filed by -ORG- -ORG- Corp.. ( pa , ) ( Entered : 11/05/2004 )","RULE 7.1 DISCLOSURE STATEMENT . Document filed by Corp.. ( pa , ) ( Entered : 11/05/2004 )",rule disclosure corp,,rule disclosure corp,corp,"['rule disclosure .', 'document file corp..']","['rule disclosure .', 'document file corp..']","['.', 'document file corp..']",System Msg,N,
"ORDER denying 99 Motion for Certification pursuant to 28 U.S.C. section 1292(b)of the question whether culpable participation by an alleged controlling person must be alleged to state a claim under Section 20(a) of the Securities Exchange Act of 1934, 15 U.S.C. Section 78t(a). . (Signed by Judge Lewis A. Kaplan on 7/21/2005) copies mailed by chambers 7/21/2005(jsa, ) (Entered: 07/25/2005)",U.S.C,Lewis A. Kaplan,"ORDER denying 99 Motion for Certification pursuant to 28 U.S.C . section 1292 ( b ) of the question whether culpable participation by an alleged controlling person must be alleged to state a claim under Section 20 ( a ) of the Securities Exchange Act of 1934 , 15 -ORG- . Section 78t ( a ) . . ( Signed by Judge -NAME- -NAME- -NAME- on 7/21/2005 ) copies mailed by chambers 7/21/2005 ( jsa , ) ( Entered : 07/25/2005 )","ORDER denying 99 Motion for Certification pursuant to 28 U.S.C . section 1292 ( b ) of the question whether culpable participation by an alleged controlling person must be alleged to state a claim under Section 20 ( a ) of the Securities Exchange Act of 1934 , 15 . Section 78t ( a ) . . ( Signed by Judge on 7/21/2005 ) copies mailed by chambers 7/21/2005 ( jsa , ) ( Entered : 07/25/2005 )",order deny motion certification u c section question culpable participation allege control person allege section security exchange act section,,order deny motion certification u c section question culpable participation allege control person allege section security exchange act section,order deny motion certification u_c section question culpable participation allege control person allege section security exchange act section,"['order deny motion certification u.s.c .', 'section question culpable participation allege control person allege state section security exchange act .', 'section .', '.', '']","['order deny motion certification u.s.c .', 'section question culpable participation allege control person allege state section security exchange act .', 'section .', '.', '']","['order deny motion certification u.s.c .', 'section question culpable participation allege control person allege state section security exchange act .', 'section .', '.', '']",Court's Order,Y,Triage
"TRANSCRIPT of proceedings held on 7/27/05 before Judge Lewis A. Kaplan. (lma, ) (Entered: 08/10/2005)",,Lewis A. Kaplan,"TRANSCRIPT of proceedings held on 7/27/05 before Judge -NAME- -NAME- -NAME- . ( lma , ) ( Entered : 08/10/2005 )","TRANSCRIPT of proceedings held on 7/27/05 before Judge . ( lma , ) ( Entered : 08/10/2005 )",hold,,hold,hold,['hold .'],['hold .'],['hold .'],Transcript,Y,Triage
"PROTECTIVE ORDER...regarding procedures to be followed that shall govern the handling of confidential material.... (Signed by Judge Lewis A. Kaplan on 11/15/2005) (lb, ) (Entered: 11/17/2005)",,Lewis A. Kaplan,"PROTECTIVE ORDER ... regarding procedures to be followed that shall govern the handling of confidential material ... . ( Signed by Judge -NAME- -NAME- -NAME- on 11/15/2005 ) ( lb , ) ( Entered : 11/17/2005 )","PROTECTIVE ORDER ... regarding procedures to be followed that shall govern the handling of confidential material ... . ( Signed by Judge on 11/15/2005 ) ( lb , ) ( Entered : 11/17/2005 )",protective order procedure govern handle confidential,,protective order procedure govern handle confidential,protective order procedure_govern_handle_confidential,['protective order procedure govern handle confidential .'],['protective order procedure govern handle confidential .'],['protective order procedure_govern_handle_confidential .'],Court's Order,Y,Triage
"AFFIDAVIT of Scott M. Berman. Document filed by Alteram S.A., Mansour Bin Zayed Al Nahyan, AlphaPlus Fund L.P.. et al (djc, ) (Entered: 11/21/2005)",Alteram S.A.,Scott M. Berman Mansour Bin Zayed Al Nahyan,"AFFIDAVIT of -NAME- -NAME- -NAME- . Document filed by -ORG- -ORG- , -NAME- -NAME- -NAME- -NAME- -NAME- , AlphaPlus Fund L.P.. et al ( djc , ) ( Entered : 11/21/2005 )","AFFIDAVIT of . Document filed by , , AlphaPlus Fund L.P.. et al ( djc , ) ( Entered : 11/21/2005 )",affidavit alphaplus l p et al,,affidavit alphaplus l p et al,affidavit alphaplus l_p,"['affidavit .', 'document file alphaplus l.p.. et al']","['affidavit .', 'document file alphaplus l.p.. et al']","['affidavit .', 'document file alphaplus l.p..']",Affidavit,Y,Triage
"SUBPOENA ISSUED for Banc of America Securities LLC on 1/10/06 at 10:00 am.Document filed by Asset Alliance Corporation.(cd, ) (Entered: 01/10/2006)",Banc of America Securities LLC Asset Alliance Corporation,,"SUBPOENA ISSUED for -ORG- -ORG- -ORG- -ORG- -ORG- on 1/10/06 at 10:00 am.Document filed by -ORG- -ORG- -ORG- . ( cd , ) ( Entered : 01/10/2006 )","SUBPOENA ISSUED for on 1/10/06 at 10:00 am.Document filed by . ( cd , ) ( Entered : 01/10/2006 )",subpoena,,subpoena,subpoena,['subpoena issue am.document file .'],['subpoena issue am.document file .'],['subpoena issue am.document file .'],Discovery,Y,Triage
"SUBPOENA ISSUED for Prudential Financial on 1/10/06 at 12:15 pm.Document filed by Asset Alliance Corporation.(cd, ) (Entered: 01/10/2006)",Prudential Financial Asset Alliance Corporation,,"SUBPOENA ISSUED for -ORG- -ORG- on 1/10/06 at 12:15 pm.Document filed by -ORG- -ORG- -ORG- . ( cd , ) ( Entered : 01/10/2006 )","SUBPOENA ISSUED for on 1/10/06 at 12:15 pm.Document filed by . ( cd , ) ( Entered : 01/10/2006 )",subpoena pm,,subpoena pm,subpoena pm,['subpoena issue pm.document file .'],['subpoena issue pm.document file .'],['subpoena issue pm.document file .'],Discovery,Y,Triage
"AMENDED AGREEMENT AND PROTECTIVE ORDER GOVERNING THE PRODUCTION AND EXCHANGE OF CONFIDENTIAL INFORMATION...regarding procedures to be followed that shall govern the handling of confidential material.... (Signed by Judge Lewis A. Kaplan on 2/15/2006) (lb, ) (Entered: 02/17/2006)",,Lewis A. Kaplan,"AMENDED AGREEMENT AND PROTECTIVE ORDER GOVERNING THE PRODUCTION AND EXCHANGE OF CONFIDENTIAL INFORMATION ... regarding procedures to be followed that shall govern the handling of confidential material ... . ( Signed by Judge -NAME- -NAME- -NAME- on 2/15/2006 ) ( lb , ) ( Entered : 02/17/2006 )","AMENDED AGREEMENT AND PROTECTIVE ORDER GOVERNING THE PRODUCTION AND EXCHANGE OF CONFIDENTIAL INFORMATION ... regarding procedures to be followed that shall govern the handling of confidential material ... . ( Signed by Judge on 2/15/2006 ) ( lb , ) ( Entered : 02/17/2006 )",amend protective order govern production exchange confidential procedure govern handle confidential,,amend protective order govern production exchange confidential procedure govern handle confidential,amend protective order govern production exchange confidential procedure_govern_handle_confidential,['amend protective order govern production exchange confidential regarding procedure govern handle confidential .'],['amend protective order govern production exchange confidential regarding procedure govern handle confidential .'],['amend protective order govern production exchange confidential regarding procedure_govern_handle_confidential .'],Court's Response,Y,Triage
"MOTION for an order, to Stay Discovery. Document filed by Beacon Hill Asset Management LLC. This Document Relates to: 04civ7900 (sac, ) (Entered: 03/20/2006)",Beacon Hill Asset Management LLC,,"MOTION for an order , to Stay Discovery . Document filed by -ORG- -ORG- -ORG- -ORG- -ORG- . This Document Relates to : 04civ7900 ( sac , ) ( Entered : 03/20/2006 )","MOTION for an order , to Stay Discovery . Document filed by . This Document Relates to : 04civ7900 ( sac , ) ( Entered : 03/20/2006 )",motion order discovery,,motion order discovery,motion order discovery,"['motion order discovery .', 'document file .', 'document']","['motion order discovery .', 'document file .', 'document']","['motion order discovery .', 'document file .', 'document']",Motion,Y,Triage
"MEMO ENDORSEMENT on re: [copy of MOTION for Robert A. Mintz to Appear Pro Hac Vice filed by Gerald Casey. ENDORSEMENT: Granted. So Ordered. (Signed by Judge Lewis A. Kaplan on 3/22/2006) (lb, ) (Entered: 03/27/2006)",,Robert A. Mintz Gerald Casey Lewis A. Kaplan,"MEMO ENDORSEMENT on re : [ copy of MOTION for -NAME- -NAME- -NAME- to Appear Pro Hac Vice filed by -NAME- -NAME- . ENDORSEMENT : Granted . So Ordered . ( Signed by Judge -NAME- -NAME- -NAME- on 3/22/2006 ) ( lb , ) ( Entered : 03/27/2006 )","MEMO ENDORSEMENT on re : [ copy of MOTION for to Appear Pro Hac Vice filed by . ENDORSEMENT : Granted . So Ordered . ( Signed by Judge on 3/22/2006 ) ( lb , ) ( Entered : 03/27/2006 )",memo endorsement,,memo endorsement,memo_endorsement,['memo endorsement'],['memo endorsement'],['memo_endorsement'],Court's Order,Y,Triage
"Transmission to Attorney Admissions Clerk. Transmitted re: 131 Memo Endorsement, to the Attorney Admissions Clerk for updating of Attorney Information. (lb, ) (Entered: 03/27/2006)",,,"Transmission to Attorney Admissions Clerk . Transmitted re : 131 Memo Endorsement , to the Attorney Admissions Clerk for updating of Attorney Information . ( lb , ) ( Entered : 03/27/2006 )","Transmission to Attorney Admissions Clerk . Transmitted re : 131 Memo Endorsement , to the Attorney Admissions Clerk for updating of Attorney Information . ( lb , ) ( Entered : 03/27/2006 )",admission transmit memo endorsement admission update,,admission transmit memo endorsement admission update,admission transmit memo_endorsement admission update,"['admission .', 'transmit memo endorsement admission update .']","['admission .', 'transmit memo endorsement admission update .']","['admission .', 'transmit memo_endorsement admission update .']",System Msg,N,
"LETTER addressed to Judge Lewis A. Kaplan from Robert S. Loigman dated 3/17/06 re: plaintiffs take no position with respect to the motion to stay discovery. Document filed by BL Absolute Return Fund, Ltd., Canary Funds Ltd., Citlo II Limited Partnership, Coastal Capital Ltd., First Gulf Bank, Fraternity Fund Ltd., Hedge Strategy Fund, LLC, Ibex Absolute Return Fund, L.P., Magnum Growth Fund, L.P., Magnum Special Situations Fund, Alteram S.A., Mansour Bin Zayed Al Nahyan, New Haven Investments, Ltd., Estate of M.L. Nicholson, M. Nicholson, W. Nicholson, P & D AlphaPlus Fund Ltd., Abdul Hamid M.Saheed, Sanpaolo IMI Alternative Investments SGR SpA, Stillwater Market Neutral Fund, L.P., Stillwater Market Neutral Fund, Ltd., AlphaPlus Fund L.P., Hazza Bin Zayed Bin Sultan, Trans Continental Growth Fund, Ltd., Van Diversified Low Volatility Fund, Ltd., Antarctica Market Mutual Fund Ltd., Balentine Global Hedge Fund, L.P., Austin Capital Safe Harbor Master Account, L.P., Credit Agricole Indosuez Luxembourg S/A Darier Hentsch Arbitrage, Green Eco Investments, S.A., Meliora Low Volatility Fund, RBC Alternative Assets, L.P., Royal Bank of Canada, Austin Capital & Radix Sterling Fund, Ltd., Paul S. Bachow, Balentine Global Hedge Fund Select, L.P., Bank of Brmuda (Luxembourg) S.A..(db, ) (Entered: 04/10/2006)","BL Absolute Return Fund , Ltd. Canary Funds Ltd. Citlo II Limited Partnership Coastal Capital Ltd. First Gulf Bank Fraternity Fund Ltd. LLC Alteram S.A. New Haven Investments , Ltd. P & D AlphaPlus Fund Ltd. Sanpaolo IMI Stillwater Market Neutral Fund , Ltd. AlphaPlus Fund L.P. Trans Continental Growth Fund , Ltd. Van Diversified Low Volatility Fund , Ltd. Antarctica Market Mutual Fund Ltd. Austin Capital Safe Harbor Credit Agricole Indosuez Luxembourg SA Darier Hentsch Arbitrage Green Eco Investments Meliora Low Volatility Fund RBC Royal Bank of Canada , Austin Capital & Radix Sterling Fund , Ltd. Bank of Brmuda",Lewis A. Kaplan Robert S. Loigman Mansour Bin Zayed Al Nahyan Nicholson M. Nicholson W. Nicholson Abdul Hamid M.Saheed Hazza Bin Zayed Bin Sultan Paul S. Bachow,"LETTER addressed to Judge -NAME- -NAME- -NAME- from -NAME- -NAME- -NAME- dated 3/17/06 re : plaintiffs take no position with respect to the motion to stay discovery . Document filed by -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- , -ORG- -ORG- -ORG- , -ORG- -ORG- -ORG- -ORG- , -ORG- -ORG- -ORG- , -ORG- -ORG- -ORG- , -ORG- -ORG- -ORG- , Hedge Strategy Fund , -ORG- , Ibex Absolute Return Fund , L.P. , Magnum Growth Fund , L.P. , Magnum Special Situations Fund , -ORG- -ORG- , -NAME- -NAME- -NAME- -NAME- -NAME- , -ORG- -ORG- -ORG- -ORG- -ORG- , Estate of M.L . -NAME- , -NAME- -NAME- , -NAME- -NAME- , -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- , -NAME- -NAME- -NAME- , -ORG- -ORG- Alternative Investments SGR SpA , Stillwater Market Neutral Fund , L.P. , -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- , -ORG- -ORG- -ORG- , -NAME- -NAME- -NAME- -NAME- -NAME- , -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- , -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- , -ORG- -ORG- -ORG- -ORG- -ORG- , Balentine Global Hedge Fund , L.P. , -ORG- -ORG- -ORG- -ORG- Master Account , L.P. , -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- , -ORG- -ORG- -ORG- , S.A. , -ORG- -ORG- -ORG- -ORG- , -ORG- Alternative Assets , L.P. , -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- , -NAME- -NAME- -NAME- , Balentine Global Hedge Fund Select , L.P. , -ORG- -ORG- -ORG- ( Luxembourg ) S.A.. ( db , ) ( Entered : 04/10/2006 )","LETTER addressed to Judge from dated 3/17/06 re : plaintiffs take no position with respect to the motion to stay discovery . Document filed by , , , , , , Hedge Strategy Fund , , Ibex Absolute Return Fund , L.P. , Magnum Growth Fund , L.P. , Magnum Special Situations Fund , , , , Estate of M.L . , , , , , Alternative Investments SGR SpA , Stillwater Market Neutral Fund , L.P. , , , , , , , Balentine Global Hedge Fund , L.P. , Master Account , L.P. , , , S.A. , , Alternative Assets , L.P. , , , Balentine Global Hedge Fund Select , L.P. , ( Luxembourg ) S.A.. ( db , ) ( Entered : 04/10/2006 )",letter address position motion discovery hedge strategy ibex absolute l p magnum growth l p magnum special situation estate l alternative investment sgr spa stillwater market neutral l p balentine global hedge l p account l p alternative asset l p balentine global hedge select l p,,letter address position motion discovery hedge strategy ibex absolute l p magnum growth l p magnum special situation estate l alternative investment sgr spa stillwater market neutral l p balentine global hedge l p account l p alternative asset l p balentine global hedge select l p,letter_address position motion discovery hedge strategy ibex absolute l_p_magnum growth l_p_magnum special situation estate l alternative investment sgr spa stillwater market neutral l_p_balentine_global hedge l_p account l_p alternative asset l_p_balentine_global hedge select l_p,"['letter address position motion discovery .', 'document file hedge strategy ibex absolute magnum growth magnum special situation estate m.l .', 'alternative investment sgr spa stillwater market neutral balentine global hedge account s.a. alternative asset balentine global hedge select s.a..']","['letter address position motion discovery .', 'document file hedge strategy ibex absolute magnum growth magnum special situation estate m.l .', 'alternative investment sgr spa stillwater market neutral balentine global hedge account s.a. alternative asset balentine global hedge select s.a..']","['letter_address position motion discovery .', 'document file hedge strategy ibex absolute magnum growth magnum special situation estate m.l .', 'alternative investment sgr spa stillwater market neutral balentine_global_hedge account s.a. alternative asset balentine_global_hedge select s.a..']",Letter to Court,Y,Triage
"RULE 7.1 DISCLOSURE STATEMENT. Document filed by Banc of America Securities, LLC.(djc, ) (Entered: 06/02/2006)",Banc of America Securities LLC,,"RULE 7.1 DISCLOSURE STATEMENT . Document filed by -ORG- -ORG- -ORG- -ORG- , -ORG- . ( djc , ) ( Entered : 06/02/2006 )","RULE 7.1 DISCLOSURE STATEMENT . Document filed by , . ( djc , ) ( Entered : 06/02/2006 )",rule disclosure,,rule disclosure,,"['rule disclosure .', 'document file .']","['rule disclosure .', 'document file .']","['.', 'document file .']",System Msg,N,
"RULE 7.1 DISCLOSURE STATEMENT. Document filed by Prudential Equity Group, LLC, Prudential Financial, Inc., Wachovia Securities, LLC.(cd, ) (Entered: 06/06/2006)","Prudential Equity Group LLC Prudential Financial , Inc. Wachovia Securities LLC",,"RULE 7.1 DISCLOSURE STATEMENT . Document filed by -ORG- -ORG- -ORG- , -ORG- , -ORG- -ORG- -ORG- -ORG- , -ORG- -ORG- , -ORG- . ( cd , ) ( Entered : 06/06/2006 )","RULE 7.1 DISCLOSURE STATEMENT . Document filed by , , , , . ( cd , ) ( Entered : 06/06/2006 )",rule disclosure,,rule disclosure,,"['rule disclosure .', 'document file .']","['rule disclosure .', 'document file .']","['.', 'document file .']",System Msg,N,
"STIPULATED PROTECTIVE ORDER...regarding procedures to be followed that shall govern the handling of confidential material.... (Signed by Judge Lewis A. Kaplan on 10/22/07) Filed In Associated Cases: 1:03-cv-02387-LAK, 1:04-cv-07900-LAK(cd) (Entered: 10/26/2007)",,Lewis A. Kaplan,"STIPULATED PROTECTIVE ORDER ... regarding procedures to be followed that shall govern the handling of confidential material ... . ( Signed by Judge -NAME- -NAME- -NAME- on 10/22/07 ) Filed In Associated Cases : 1:03-cv-02387-LAK , 1:04-cv-07900-LAK ( cd ) ( Entered : 10/26/2007 )","STIPULATED PROTECTIVE ORDER ... regarding procedures to be followed that shall govern the handling of confidential material ... . ( Signed by Judge on 10/22/07 ) Filed In Associated Cases : 1:03-cv-02387-LAK , 1:04-cv-07900-LAK ( cd ) ( Entered : 10/26/2007 )",stipulate protective order procedure govern handle confidential,,stipulate protective order procedure govern handle confidential,stipulate protective order procedure_govern_handle_confidential,"['stipulate protective order procedure govern handle confidential .', 'file']","['stipulate protective order procedure govern handle confidential .', 'file']","['stipulate protective order procedure_govern_handle_confidential .', 'file']",Court's Order,Y,Triage
"MOTION for an entry of an order in the form attached hereto as Exhibit 1 attached to this motion. Document filed by Private Space, Ltd., Sumnicht Money Masters Fund, L.P., Sumnicht Money Masters Fund II, L.P., University of Chicago, Pooled Funds, Inc., Gilbraltar Fund I, LP, Crestline Offshore Fund, Ltd., Deutsche Bank AG, Jerome Ginsburg, Erik Hartlog, ING (L) Alternative Strategies-Balanced Growth, S.A., BL Absolute Return Fund, Ltd., Canary Funds Ltd., Citlo II Limited Partnership, Coastal Capital Ltd., First Gulf Bank, Fraternity Fund Ltd., Hedge Strategy Fund, LLC, Ibex Absolute Return Fund, L.P., Magnum Growth Fund, L.P., Magnum Special Situations Fund, Alteram S.A., Mansour Bin Zayed Al Nahyan, New Haven Investments, Ltd., Estate of M.L. Nicholson, M. Nicholson, W. Nicholson, P & D AlphaPlus Fund Ltd., Abdul Hamid M.Saheed, Stillwater Market Neutral Fund, L.P., Stillwater Market Neutral Fund, Ltd., AlphaPlus Fund L.P., Hazza Bin Zayed Bin Sultan, Trans Continental Growth Fund, Ltd., Van Diversified Low Volatility Fund, Ltd., Antarctica Market Mutual Fund Ltd., Balentine Global Hedge Fund, L.P., Austin Capital Safe Harbor Master Account, L.P., Credit Agricole Indosuez Luxembourg S/A Darier Hentsch Arbitrage, Green Eco Investments, S.A., Meliora Low Volatility Fund, RBC Alternative Assets, L.P., Royal Bank of Canada, Austin Capital & Radix Sterling Fund, Ltd., Paul S. Bachow, Balentine Global Hedge Fund Select, L.P., Bank of Brmuda (Luxembourg) S.A..Filed In Associated Cases: 1:03-cv-02387-LAK, 1:04-cv-07900-LAK(pl) Modified on 6/4/2008 (pl). (Entered: 06/04/2008)","Private Space , Ltd. University of Chicago , Pooled Funds , Inc. Crestline Offshore Fund , Ltd. Deutsche Bank AG ING BL Absolute Return Fund , Ltd. Canary Funds Ltd. Citlo II Limited Partnership Coastal Capital Ltd. First Gulf Bank Fraternity Fund Ltd. LLC Alteram S.A. New Haven Investments , Ltd. P & D AlphaPlus Fund Ltd. Stillwater Market Neutral Fund , Ltd. AlphaPlus Fund L.P. Trans Continental Growth Fund , Ltd. Van Diversified Low Volatility Fund , Ltd. Antarctica Market Mutual Fund Ltd. Austin Capital Safe Harbor Credit Agricole Indosuez Luxembourg SA Darier Hentsch Arbitrage Green Eco Investments Meliora Low Volatility Fund RBC Royal Bank of Canada , Austin Capital & Radix Sterling Fund , Ltd. Bank of Brmuda ( Luxembourg",Jerome Ginsburg Erik Hartlog Mansour Bin Zayed Al Nahyan Nicholson M. Nicholson W. Nicholson Abdul Hamid M.Saheed Hazza Bin Zayed Bin Sultan Paul S. Bachow,"MOTION for an entry of an order in the form attached hereto as Exhibit 1 attached to this motion . Document filed by -ORG- -ORG- -ORG- -ORG- , Sumnicht Money Masters Fund , L.P. , Sumnicht Money Masters Fund II , L.P. , -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- , Gilbraltar Fund I , LP , -ORG- -ORG- -ORG- -ORG- -ORG- , -ORG- -ORG- -ORG- , -NAME- -NAME- , -NAME- -NAME- , -ORG- ( L ) Alternative Strategies-Balanced Growth , S.A. , -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- , -ORG- -ORG- -ORG- , -ORG- -ORG- -ORG- -ORG- , -ORG- -ORG- -ORG- , -ORG- -ORG- -ORG- , -ORG- -ORG- -ORG- , Hedge Strategy Fund , -ORG- , Ibex Absolute Return Fund , L.P. , Magnum Growth Fund , L.P. , Magnum Special Situations Fund , -ORG- -ORG- , -NAME- -NAME- -NAME- -NAME- -NAME- , -ORG- -ORG- -ORG- -ORG- -ORG- , Estate of M.L . -NAME- , -NAME- -NAME- , -NAME- -NAME- , -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- , -NAME- -NAME- -NAME- , Stillwater Market Neutral Fund , L.P. , -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- , -ORG- -ORG- -ORG- , -NAME- -NAME- -NAME- -NAME- -NAME- , -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- , -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- , -ORG- -ORG- -ORG- -ORG- -ORG- , Balentine Global Hedge Fund , L.P. , -ORG- -ORG- -ORG- -ORG- Master Account , L.P. , -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- , -ORG- -ORG- -ORG- , S.A. , -ORG- -ORG- -ORG- -ORG- , -ORG- Alternative Assets , L.P. , -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- -ORG- , -NAME- -NAME- -NAME- , Balentine Global Hedge Fund Select , L.P. , -ORG- -ORG- -ORG- -ORG- -ORG- ) S.A..Filed In Associated Cases : 1:03-cv-02387-LAK , 1:04-cv-07900-LAK ( pl ) Modified on 6/4/2008 ( pl ) . ( Entered : 06/04/2008 )","MOTION for an entry of an order in the form attached hereto as Exhibit 1 attached to this motion . Document filed by , Sumnicht Money Masters Fund , L.P. , Sumnicht Money Masters Fund II , L.P. , , Gilbraltar Fund I , LP , , , , , ( L ) Alternative Strategies-Balanced Growth , S.A. , , , , , , , Hedge Strategy Fund , , Ibex Absolute Return Fund , L.P. , Magnum Growth Fund , L.P. , Magnum Special Situations Fund , , , , Estate of M.L . , , , , , Stillwater Market Neutral Fund , L.P. , , , , , , , Balentine Global Hedge Fund , L.P. , Master Account , L.P. , , , S.A. , , Alternative Assets , L.P. , , , Balentine Global Hedge Fund Select , L.P. , ) S.A..Filed In Associated Cases : 1:03-cv-02387-LAK , 1:04-cv-07900-LAK ( pl ) Modified on 6/4/2008 ( pl ) . ( Entered : 06/04/2008 )",motion entry order hereto attached motion sumnicht money l p sumnicht money ii l p gilbraltar lp alternative strategiesbalanced growth hedge strategy ibex absolute l p magnum growth l p magnum special situation estate l stillwater market neutral l p balentine global hedge l p account l p alternative asset l p balentine global hedge select l p,,motion entry order hereto attached motion sumnicht money l p sumnicht money ii l p gilbraltar lp alternative strategiesbalanced growth hedge strategy ibex absolute l p magnum growth l p magnum special situation estate l stillwater market neutral l p balentine global hedge l p account l p alternative asset l p balentine global hedge select l p,motion entry order hereto attached motion sumnicht money l_p sumnicht money ii l_p gilbraltar lp alternative strategiesbalanced growth hedge strategy ibex absolute l_p_magnum growth l_p_magnum special situation estate l stillwater market neutral l_p_balentine_global hedge l_p account l_p alternative asset l_p_balentine_global hedge select l_p,"['motion entry order hereto attached motion .', 'document file sumnicht money sumnicht money ii gilbraltar lp alternative strategiesbalanced growth s.a. hedge strategy ibex absolute magnum growth magnum special situation estate m.l .', 'stillwater market neutral balentine global hedge account s.a. alternative asset balentine global hedge select s.a..filed associate .']","['motion entry order hereto attached motion .', 'document file sumnicht money sumnicht money ii gilbraltar lp alternative strategiesbalanced growth s.a. hedge strategy ibex absolute magnum growth magnum special situation estate m.l .', 'stillwater market neutral balentine global hedge account s.a. alternative asset balentine global hedge select s.a..filed associate .']","['motion entry order hereto attached motion .', 'document file sumnicht money sumnicht money ii gilbraltar lp alternative strategiesbalanced growth s.a. hedge strategy ibex absolute magnum growth magnum special situation estate m.l .', 'stillwater market neutral balentine_global_hedge account s.a. alternative asset balentine_global_hedge select s.a..filed associate .']",Motion,Y,Triage
